Name,Firstname,Lastname,SamAccountName,EmailAddress,Organization,Position
Alexander Campbell,Alexander,Campbell,acampbell,acampbell@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,រដ្ឋមន្ត្រីក្រសួងការពារជាតិ
Paul Wells,Paul,Wells,pwells,pwells@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,រដ្ឋលេខាធិការក្រសួងការពារជាតិ/ជំនួយការរដ្ឋមន្ត្រី
Zak Hart,Zak,Hart,zhart,zhart@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តาล,អគ្គលេខាធិការក្រសួងការពារជាតិ
Timothy Harper,Timothy,Harper,tharper,tharper@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,អគ្គលេខាធិការរងក្រសួងការពារជាតិ
Haider White,Haider,White,hwhite,hwhite@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,នាយកការិយាល័យនយោបាយ និងផែនការការពារជាតិ
Harris Stone,Harris,Stone,hstone,hstone@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,នាយកការិយាល័យចារកម្មការពារជាតិ
Lukas Stevens,Lukas,Stevens,Istevens,Istevens@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,នាយកការិយាល័យប្រតិបត្តិការ និងការហ្វឹកហ្វឺន
Finlay Fox,Finlay,Fox,ffox,ffox@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,នាយកការិយាល័យភស្តុភារ
Otto Gray,Otto,Gray,ogray,ogray@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,នាយកមជ្ឈមណ្ឌលបច្ចេកវិទ្យាព័ត៌មានការពារជាតិ
Noah Richardson,Noah,Richardson,nrichardson,nrichardson@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,ប្រធានមជ្ឈមណ្ឌលប្រតិបត្តិការសន្តិសុខសាយប័រការពារជាតិ
Ariya Cook,Ariya,Cook,acook,acook@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,អ្នកគ្រប់គ្រងគេហទំពរក្រសួងការពារជាតិ
Bonnie Baxter,Bonnie,Baxter,bbaxter,bbaxter@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,អ្នកគ្រប់គ្រងប្រព័ន្ធព័ត៌មានកណ្តាល/ប្រព័ន្ធឯកសារផ្លូវការ
Luna Parker,Luna,Parker,Iparker,Iparker@enterprise01.com,ក្រសួងការពារជាតិ ផ្នែកកណ្តាល,មន្ត្រីទំនាក់ទំនងសាធារណៈ និងទំនាក់ទំនងស្ថាប័ន
Kiara Webb,Kiara,Webb,kwebb,kwebb@enterprise01.com,កងទ័ពជើងគោក,មេបញ្ជាការកងទ័ពជើងគោក
Erica Gray,Erica,Gray,egray,egray@enterprise01.com,កងទ័ពជើងគោក,មេបញ្ជាការរងកងទ័ពជើងគោក
Angel Foster,Angel,Foster,afoster,afoster@enterprise01.com,កងទ័ពជើងគោក,អគ្គសេនាធិការកងទ័ពជើងគោក
Willow Brooks,Willow,Brooks,wbrooks,wbrooks@enterprise01.com,កងទ័ពជើងគោក,នាយកនាយកដ្ឋានប្រតិបត្តិការកងទ័ពជើងគោក
Poppy Gibson,Poppy,Gibson,pgibson,pgibson@enterprise01.com,កងទ័ពជើងគោក,នាយកនាយកដ្ឋានព័ត៌មានកងទ័ពជើងគោក
Scarlett Wright,Scarlett,Wright,swright,swright@enterprise01.com,កងទ័ពជើងគោក,នាយកនាយកដ្ឋានបុគ្គលិកកងទ័ពជើងគោក
Halle Hughes,Halle,Hughes,hhughes,hhughes@enterprise01.com,កងទ័ពជើងគោក,នាយកនាយកដ្ឋានភស្តុភារកងទ័ពជើងគោក
Brody Robertson,Brody,Robertson,brobertson,brobertson@enterprise01.com,កងទ័ពជើងគោក,នាយកនាយកដ្ឋានគមនាគមន៍កងទ័ពជើងគោក
Robin Holmes,Robin,Holmes,rholmes,rholmes@enterprise01.com,កងទ័ពជើងគោក,នាយកមជ្ឈមណ្ឌលសាយប័រកងទ័ពជើងគោក
Hayden Kelly,Hayden,Kelly,hkelly,hkelly@enterprise01.com,កងទ័ពជើងគោក,អ្នកគ្រប់គ្រងគេហទំពរកងទ័ពជើងគោក
Sebastian Khan,Sebastian,Khan,skhan,skhan@enterprise01.com,កងទ័ពជើងគោក,អ្នកគ្រប់គ្រងប្រព័ន្ធព័ត៌មានបុគ្គលិក/ប្រតិបត្តិការ កងទ័ពជើងគោក
Nathaniel Dixon,Nathaniel,Dixon,Indixon,ndixon@enterprise01.com,កងទ័ពជើងទឹក,មេបញ្ជាការកងទ័ពជើងទឹក
Eden Robertson,Eden,Robertson,erobertson,erobertson@enterprise01.com,កងទ័ពជើងទឹក,មេបញ្ជាការរងកងទ័ពជើងទឹក
Rohan Wilkinson,Rohan,Wilkinson,rwilkinson,rwilkinson@enterprise01.com,កងទ័ពជើងទឹក,អគ្គសេនាធិការកងទ័ពជើងទឹក
Eden Hussain,Eden,Hussain,ehussain,ehussain@enterprise01.com,កងទ័ពជើងទឹក,នាយកនាយកដ្ឋានប្រតិបត្តិការកងទ័ពជើងទឹក
